sido,sigungu,eupmyeondong,rank1_category,rank1_score,rank2_category,rank2_score,rank3_category,rank3_score,is_general
강원특별자치도,강릉시,강남동,TOURIST_DINING,0.6751,,,,,False
강원특별자치도,강릉시,강동면,TOURIST_DINING,0.7484,,,,,False
강원특별자치도,강릉시,경포동,TOURIST_DINING,0.7815,PREMIUM,0.6129,,,False
강원특별자치도,강릉시,교1동,TOURIST_DINING,0.6155,FAMILY_RESIDENTIAL,0.6061,PREMIUM,0.6056,False
강원특별자치도,강릉시,교2동,NIGHTLIFE_DINING,0.6791,TOURIST_DINING,0.671,PREMIUM,0.6451,False
강원특별자치도,강릉시,구정면,TOURIST_DINING,0.7945,,,,,False
강원특별자치도,강릉시,내곡동,OFFICE_LUNCH,0.6392,,,,,False
강원특별자치도,강릉시,사천면,TOURIST_DINING,0.7673,PREMIUM,0.6052,,,False
강원특별자치도,강릉시,성덕동,FAMILY_RESIDENTIAL,0.6105,TOURIST_DINING,0.6016,,,False
강원특별자치도,강릉시,성산면,TOURIST_DINING,0.7821,,,,,False
강원특별자치도,강릉시,송정동,TOURIST_DINING,0.731,PREMIUM,0.6278,,,False
강원특별자치도,강릉시,연곡면,TOURIST_DINING,0.7657,PREMIUM,0.6163,,,False
강원특별자치도,강릉시,옥계면,TOURIST_DINING,0.7719,,,,,False
강원특별자치도,강릉시,옥천동,NIGHTLIFE_DINING,0.7023,PREMIUM,0.6778,OFFICE_LUNCH,0.648,False
강원특별자치도,강릉시,왕산면,GENERAL,0.3921,,,,,False
강원특별자치도,강릉시,주문진읍,TOURIST_DINING,0.7201,PREMIUM,0.6089,,,False
강원특별자치도,강릉시,중앙동,NIGHTLIFE_DINING,0.6575,TOURIST_DINING,0.6438,CAMPUS_CASUAL,0.6109,False
강원특별자치도,강릉시,초당동,TOURIST_DINING,0.7214,PREMIUM,0.6159,,,False
강원특별자치도,강릉시,포남1동,OFFICE_LUNCH,0.6368,TOURIST_DINING,0.6243,,,False
강원특별자치도,강릉시,포남2동,OFFICE_LUNCH,0.6405,TOURIST_DINING,0.619,,,False
강원특별자치도,강릉시,홍제동,GENERAL,0.3677,,,,,False
강원특별자치도,고성군,간성읍,OFFICE_LUNCH,0.6496,,,,,False
강원특별자치도,고성군,거진읍,TOURIST_DINING,0.7501,,,,,False
강원특별자치도,고성군,죽왕면,TOURIST_DINING,0.7922,,,,,False
강원특별자치도,고성군,토성면,TOURIST_DINING,0.7536,CAMPUS_CASUAL,0.6028,,,False
강원특별자치도,고성군,현내면,TOURIST_DINING,0.7847,,,,,False
강원특별자치도,동해시,동호동,TOURIST_DINING,0.7359,PREMIUM,0.6136,,,False
강원특별자치도,동해시,망상동,TOURIST_DINING,0.7837,,,,,False
강원특별자치도,동해시,묵호동,TOURIST_DINING,0.7431,PREMIUM,0.6001,,,False
강원특별자치도,동해시,발한동,TOURIST_DINING,0.7503,PREMIUM,0.6128,,,False
강원특별자치도,동해시,부곡동,TOURIST_DINING,0.7152,PREMIUM,0.6034,,,False
강원특별자치도,동해시,북삼동,OFFICE_LUNCH,0.6787,FAMILY_RESIDENTIAL,0.6254,PREMIUM,0.6206,False
강원특별자치도,동해시,북평동,FAMILY_RESIDENTIAL,0.6129,PREMIUM,0.609,TOURIST_DINING,0.6045,False
강원특별자치도,동해시,삼화동,FAMILY_RESIDENTIAL,0.6372,TOURIST_DINING,0.6278,,,False
강원특별자치도,동해시,송정동,TOURIST_DINING,0.7476,,,,,False
강원특별자치도,동해시,천곡동,OFFICE_LUNCH,0.6723,TOURIST_DINING,0.6605,PREMIUM,0.6239,False
강원특별자치도,삼척시,가곡면,GENERAL,0.37370000000000003,,,,,False
강원특별자치도,삼척시,교동,OFFICE_LUNCH,0.6015,,,,,False
강원특별자치도,삼척시,근덕면,TOURIST_DINING,0.8011,,,,,False
강원특별자치도,삼척시,남양동,NIGHTLIFE_DINING,0.604,,,,,False
강원특별자치도,삼척시,노곡면,GENERAL,0.4176,,,,,True
강원특별자치도,삼척시,도계읍,GENERAL,0.30879999999999996,,,,,False
강원특별자치도,삼척시,미로면,GENERAL,0.403,,,,,True
강원특별자치도,삼척시,성내동,GENERAL,0.3257,,,,,False
강원특별자치도,삼척시,신기면,GENERAL,0.3458,,,,,False
강원특별자치도,삼척시,원덕읍,TOURIST_DINING,0.7919,,,,,False
강원특별자치도,삼척시,정라동,TOURIST_DINING,0.7,,,,,False
강원특별자치도,삼척시,하장면,GENERAL,0.4193,,,,,True
강원특별자치도,속초시,교동,TOURIST_DINING,0.6785,PREMIUM,0.6497,OFFICE_LUNCH,0.6313,False
강원특별자치도,속초시,금호동,TOURIST_DINING,0.7235,OFFICE_LUNCH,0.6263,PREMIUM,0.6256,False
강원특별자치도,속초시,노학동,TOURIST_DINING,0.6493,PREMIUM,0.6461,NIGHTLIFE_DINING,0.6104,False
강원특별자치도,속초시,대포동,TOURIST_DINING,0.7223,,,,,False
강원특별자치도,속초시,동명동,TOURIST_DINING,0.712,PREMIUM,0.634,,,False
강원특별자치도,속초시,영랑동,TOURIST_DINING,0.73,PREMIUM,0.6467,,,False
강원특별자치도,속초시,조양동,TOURIST_DINING,0.6927,PREMIUM,0.6358,NIGHTLIFE_DINING,0.6124,False
강원특별자치도,속초시,청호동,TOURIST_DINING,0.73,PREMIUM,0.6346,,,False
강원특별자치도,양구군,국토정중앙면,GENERAL,0.36260000000000003,,,,,False
강원특별자치도,양구군,동면,GENERAL,0.3922,,,,,False
강원특별자치도,양구군,방산면,TOURIST_DINING,0.7401,,,,,False
강원특별자치도,양구군,양구읍,TOURIST_DINING,0.7163,OFFICE_LUNCH,0.6111,,,False
강원특별자치도,양구군,해안면,TOURIST_DINING,0.7419,,,,,False
강원특별자치도,양양군,강현면,TOURIST_DINING,0.7782,,,,,False
강원특별자치도,양양군,서면,GENERAL,0.37270000000000003,,,,,False
강원특별자치도,양양군,손양면,TOURIST_DINING,0.7779,,,,,False
강원특별자치도,양양군,양양읍,TOURIST_DINING,0.6993,,,,,False
강원특별자치도,양양군,현남면,TOURIST_DINING,0.7882,PREMIUM,0.6131,,,False
강원특별자치도,양양군,현북면,TOURIST_DINING,0.7894,,,,,False
강원특별자치도,영월군,김삿갓면,TOURIST_DINING,0.7483,,,,,False
강원특별자치도,영월군,남면,GENERAL,0.3648,,,,,False
강원특별자치도,영월군,무릉도원면,GENERAL,0.3399,,,,,False
강원특별자치도,영월군,북면,TOURIST_DINING,0.7596,,,,,False
강원특별자치도,영월군,산솔면,GENERAL,0.25639999999999996,,,,,False
강원특별자치도,영월군,상동읍,GENERAL,0.31289999999999996,,,,,False
강원특별자치도,영월군,영월읍,OFFICE_LUNCH,0.6814,TOURIST_DINING,0.6662,,,False
강원특별자치도,영월군,주천면,TOURIST_DINING,0.6764,,,,,False
강원특별자치도,영월군,한반도면,GENERAL,0.4038,,,,,True
강원특별자치도,원주시,개운동,FAMILY_RESIDENTIAL,0.6651,,,,,False
강원특별자치도,원주시,귀래면,GENERAL,0.406,,,,,True
강원특별자치도,원주시,단계동,NIGHTLIFE_DINING,0.6719,TOURIST_DINING,0.6603,CAMPUS_CASUAL,0.6216,False
강원특별자치도,원주시,단구동,FAMILY_RESIDENTIAL,0.618,,,,,False
강원특별자치도,원주시,명륜1동,FAMILY_RESIDENTIAL,0.6167,NIGHTLIFE_DINING,0.6023,,,False
강원특별자치도,원주시,명륜2동,FAMILY_RESIDENTIAL,0.6683,,,,,False
강원특별자치도,원주시,무실동,FAMILY_RESIDENTIAL,0.6447,,,,,False
강원특별자치도,원주시,문막읍,OFFICE_LUNCH,0.6856,,,,,False
강원특별자치도,원주시,반곡관설동,OFFICE_LUNCH,0.7088,PREMIUM,0.6151,,,False
강원특별자치도,원주시,봉산동,FAMILY_RESIDENTIAL,0.6411,,,,,False
강원특별자치도,원주시,부론면,TOURIST_DINING,0.7611,,,,,False
강원특별자치도,원주시,소초면,TOURIST_DINING,0.7591,,,,,False
강원특별자치도,원주시,신림면,TOURIST_DINING,0.8004,,,,,False
강원특별자치도,원주시,우산동,TOURIST_DINING,0.6737,,,,,False
강원특별자치도,원주시,원인동,NIGHTLIFE_DINING,0.6243,TOURIST_DINING,0.6109,PREMIUM,0.6073,False
강원특별자치도,원주시,일산동,TOURIST_DINING,0.6462,NIGHTLIFE_DINING,0.6307,,,False
강원특별자치도,원주시,중앙동,TOURIST_DINING,0.6599,NIGHTLIFE_DINING,0.6532,,,False
강원특별자치도,원주시,지정면,FAMILY_RESIDENTIAL,0.6486,,,,,False
강원특별자치도,원주시,태장1동,CAMPUS_CASUAL,0.5428,,,,,False
강원특별자치도,원주시,태장2동,GENERAL,0.4077,,,,,True
강원특별자치도,원주시,판부면,FAMILY_RESIDENTIAL,0.633,TOURIST_DINING,0.6029,PREMIUM,0.6016,False
강원특별자치도,원주시,학성동,TOURIST_DINING,0.641,NIGHTLIFE_DINING,0.6027,,,False
강원특별자치도,원주시,행구동,GENERAL,0.3831,,,,,False
강원특별자치도,원주시,호저면,TOURIST_DINING,0.7435,,,,,False
강원특별자치도,원주시,흥업면,CAMPUS_CASUAL,0.5831,,,,,False
강원특별자치도,인제군,기린면,TOURIST_DINING,0.757,,,,,False
강원특별자치도,인제군,남면,OFFICE_LUNCH,0.6783,TOURIST_DINING,0.6173,,,False
강원특별자치도,인제군,북면,OFFICE_LUNCH,0.6658,TOURIST_DINING,0.6162,,,False
강원특별자치도,인제군,상남면,TOURIST_DINING,0.7971,,,,,False
강원특별자치도,인제군,서화면,FAMILY_RESIDENTIAL,0.6055,,,,,False
강원특별자치도,인제군,인제읍,OFFICE_LUNCH,0.6513,TOURIST_DINING,0.6332,,,False
강원특별자치도,정선군,고한읍,TOURIST_DINING,0.7418,,,,,False
강원특별자치도,정선군,남면,TOURIST_DINING,0.7798,,,,,False
강원특별자치도,정선군,북평면,TOURIST_DINING,0.7808,,,,,False
강원특별자치도,정선군,사북읍,GENERAL,0.37350000000000005,,,,,False
강원특별자치도,정선군,신동읍,TOURIST_DINING,0.7719,,,,,False
강원특별자치도,정선군,여량면,TOURIST_DINING,0.7386,,,,,False
강원특별자치도,정선군,임계면,GENERAL,0.36460000000000004,,,,,False
강원특별자치도,정선군,정선읍,GENERAL,0.33099999999999996,,,,,False
강원특별자치도,정선군,화암면,TOURIST_DINING,0.7809,,,,,False
강원특별자치도,철원군,갈말읍,OFFICE_LUNCH,0.6846,,,,,False
강원특별자치도,철원군,근남면,FAMILY_RESIDENTIAL,0.6348,TOURIST_DINING,0.6149,,,False
강원특별자치도,철원군,근북면,GENERAL,0.3073,,,,,False
강원특별자치도,철원군,김화읍,TOURIST_DINING,0.7221,,,,,False
강원특별자치도,철원군,동송읍,OFFICE_LUNCH,0.6241,TOURIST_DINING,0.6128,,,False
강원특별자치도,철원군,서면,FAMILY_RESIDENTIAL,0.625,OFFICE_LUNCH,0.6125,,,False
강원특별자치도,철원군,철원읍,FAMILY_RESIDENTIAL,0.6291,TOURIST_DINING,0.6165,,,False
강원특별자치도,춘천시,강남동,CAMPUS_CASUAL,0.6963,FAMILY_RESIDENTIAL,0.6385,OFFICE_LUNCH,0.6022,False
강원특별자치도,춘천시,교동,TOURIST_DINING,0.6562,,,,,False
강원특별자치도,춘천시,근화동,TOURIST_DINING,0.6601,CAMPUS_CASUAL,0.6163,,,False
강원특별자치도,춘천시,남면,GENERAL,0.279,,,,,False
강원특별자치도,춘천시,남산면,OFFICE_LUNCH,0.6108,,,,,False
강원특별자치도,춘천시,동내면,GENERAL,0.4048,,,,,True
강원특별자치도,춘천시,동면,FAMILY_RESIDENTIAL,0.6033,,,,,False
